postal_code,postal_code_score
7700,1.79
7334,1.8
7870,1.8
7390,1.8
7387,1.8
7382,1.8
7380,1.8
7370,1.8
7350,1.8
7340,1.8
7333,1.8
7332,1.8
7331,1.8
7330,1.8
7000,1.8
7011,1.8
7020,1.8
7021,1.8
7022,1.8
7024,1.8
7030,1.8
7031,1.8
7032,1.8
7033,1.8
7301,1.8
7300,1.8
7080,1.8
7050,1.8
7041,1.8
7012,1.8
7040,1.8
7034,1.8
7781,1.88
7784,1.88
7783,1.88
7782,1.88
7780,1.88
7712,1.88
7711,1.88
4020,1.89
6210,1.89999
6211,1.89999
6220,1.89999
6221,1.89999
6222,1.89999
6223,1.89999
6224,1.89999
6230,1.89999
6041,1.89999
6238,1.89999
6240,1.89999
6250,1.89999
6280,1.89999
7160,1.89999
7170,1.89999
7180,1.89999
6200,1.89999
6183,1.89999
6142,1.89999
6181,1.89999
6040,1.89999
6032,1.89999
6031,1.89999
6030,1.89999
6020,1.89999
6010,1.89999
6043,1.89999
6000,1.89999
6044,1.89999
6060,1.89999
6061,1.89999
6110,1.89999
6111,1.89999
6140,1.89999
6141,1.89999
6042,1.89999
6180,1.89999
6182,1.89999
6001,1.89999
7181,1.89999
5651,1.9625
5600,1.9625
5620,1.9625
5680,1.9625
5670,1.9625
5660,1.9625
5621,1.9625
5650,1.9625
5630,1.9625
7140,1.99
7141,1.99
6120,1.99
6150,1.99
6594,1.99
6440,1.99
6441,1.99
6460,1.99
6461,1.99
6462,1.99
6596,1.99
7134,1.99
6463,1.99
7133,1.99
6470,1.99
6593,1.99
6592,1.99
6591,1.99
6590,1.99
6567,1.99
6560,1.99
6543,1.99
7120,1.99
7130,1.99
6542,1.99
6540,1.99
6464,1.99
6536,1.99
6534,1.99
6533,1.99
6532,1.99
6531,1.99
6530,1.99
6511,1.99
6500,1.99
7131,1.99
4100,2.1
4140,2.25
4130,2.25
4141,2.25
4170,2.25
4451,2.25
4340,2.25
4342,2.25
4400,2.25
4420,2.25
4430,2.25
4431,2.25
4450,2.25
4122,2.25
4452,2.25
4453,2.25
4458,2.25
4171,2.25
4121,2.25
4040,2.25
4102,2.25
5364,2.25
5370,2.25
5372,2.25
5374,2.25
5376,2.25
5377,2.25
5500,2.25
5501,2.25
5502,2.25
5503,2.25
5504,2.25
5520,2.25
4120,2.25
5521,2.25
5523,2.25
4030,2.25
4031,2.25
4032,2.25
4460,2.25
4041,2.25
4042,2.25
4050,2.25
4051,2.25
4052,2.25
4053,2.25
4101,2.25
5522,2.25
4600,2.25
5544,2.25
4602,2.25
4610,2.25
4620,2.25
4621,2.25
4623,2.25
4624,2.25
4630,2.25
4631,2.25
4632,2.25
4633,2.25
4670,2.25
4671,2.25
4672,2.25
4680,2.25
4681,2.25
4682,2.25
4683,2.25
5363,2.25
4684,2.25
4690,2.25
4870,2.25
4920,2.25
5590,2.25
5580,2.25
5576,2.25
5575,2.25
4606,2.25
4607,2.25
4608,2.25
5524,2.25
5530,2.25
5537,2.25
5540,2.25
5541,2.25
5542,2.25
5543,2.25
4601,2.25
5550,2.25
5560,2.25
5561,2.25
5562,2.25
5563,2.25
5564,2.25
5570,2.25
5571,2.25
5572,2.25
5573,2.25
5574,2.25
5555,2.25
5362,2.25
4432,2.25
5360,2.25
5361,2.25
2100,2.35
7063,2.39
7070,2.39
7090,2.39
7100,2.39
7110,2.39
7190,2.39
7191,2.39
7860,2.39
7062,2.39
7861,2.39
7862,2.39
7863,2.39
7864,2.39
7866,2.39
4000,2.39
7850,2.39
7061,2.39
7830,2.39
7060,2.39
6856,2.397
6800,2.397
6830,2.397
6831,2.397
6832,2.397
6833,2.397
6834,2.397
6836,2.397
6838,2.397
6840,2.397
6851,2.397
6853,2.397
6860,2.397
6852,2.397
6880,2.397
6887,2.397
6890,2.397
6920,2.397
6921,2.397
6922,2.397
6924,2.397
6927,2.397
6850,2.397
6929,2.397
6870,2.397
7641,2.45
7640,2.45
7624,2.45
7623,2.45
7521,2.45
7531,2.45
2060,2.45
7530,2.45
7522,2.45
7622,2.45
7506,2.45
7520,2.45
7642,2.45
7621,2.45
7540,2.45
7618,2.45
7600,2.45
7548,2.45
7543,2.45
7542,2.45
7504,2.45
7538,2.45
7536,2.45
7534,2.45
7533,2.45
7532,2.45
7603,2.45
7604,2.45
7608,2.45
7610,2.45
7611,2.45
7620,2.45
7503,2.45
7602,2.45
7501,2.45
7601,2.45
7502,2.45
7906,2.45
7904,2.45
7901,2.45
7900,2.45
7760,2.45
7903,2.45
7743,2.45
7742,2.45
7740,2.45
7730,2.45
7750,2.45
7643,2.45
7500,2.45
2140,2.49
2170,2.49
1080,2.495
4161,2.5
4162,2.5
4163,2.5
4190,2.5
4181,2.5
4210,2.5
4160,2.5
4180,2.5
4480,2.5
4570,2.5
4520,2.5
4530,2.5
4537,2.5
4540,2.5
4550,2.5
4560,2.5
4577,2.5
4590,2.5
4500,2.5
4557,2.5
4218,2.5
7910,2.5
7810,2.5
7804,2.5
7803,2.5
7802,2.5
7801,2.5
7800,2.5
7322,2.5
7321,2.5
7320,2.5
7823,2.5
7880,2.5
7890,2.5
7812,2.5
7811,2.5
7911,2.5
7940,2.5
7941,2.5
7942,2.5
7943,2.5
7950,2.5
7951,2.5
7970,2.5
7971,2.5
7972,2.5
7973,2.5
4217,2.5
7912,2.5
7822,2.5
8800,2.59
9600,2.59
6940,2.6
6900,2.6
6982,2.6
6971,2.6
6941,2.6
6950,2.6
6951,2.6
6952,2.6
6953,2.6
6960,2.6
6970,2.6
6997,2.6
6972,2.6
6980,2.6
6983,2.6
6984,2.6
6986,2.6
6987,2.6
6990,2.6
1070,2.65
1090,2.65
4254,2.66
4367,2.66
4252,2.66
4260,2.66
4261,2.66
4263,2.66
4280,2.66
4287,2.66
4300,2.66
4317,2.66
4347,2.66
4350,2.66
4351,2.66
4357,2.66
4360,2.66
4250,2.66
4219,2.66
4253,2.66
4257,2.66
4470,2.66
5646,2.69
5020,2.69
5021,2.69
5024,2.69
5030,2.69
5031,2.69
5032,2.69
5060,2.69
5070,2.69
5080,2.69
5081,2.69
5100,2.69
5101,2.69
5140,2.69
5150,2.69
5004,2.69
5170,2.69
5300,2.69
5310,2.69
5330,2.69
5332,2.69
5333,2.69
5334,2.69
5336,2.69
5340,2.69
5350,2.69
5351,2.69
5352,2.69
5354,2.69
5353,2.69
5644,2.69
5190,2.69
5003,2.69
5022,2.69
5001,2.69
8904,2.69
8902,2.69
5002,2.69
8640,2.69
8770,2.69
8810,2.69
8906,2.69
8830,2.69
8840,2.69
5640,2.69
8870,2.69
5641,2.69
8880,2.69
8890,2.69
5380,2.69
8908,2.69
8900,2.69
8940,2.69
5000,2.69
8980,2.69
8920,2.69
8972,2.69
8970,2.69
8958,2.69
